State,(a) All Veterans (b+c),(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),(c) Peacetime Veterans (h+l+o+t+x),(d) World War II (i+j+k),(e) Korean Conflict (j+k+m+n),(f) Vietnam Era (k+n+p+q+r+s),(g) Gulf War Era (q+r+s+u+v+w),(h) Pre-WWII,(i) WWII only,(j) WWII & KC,"(k) WWII, KC, VNE",(l) Between WWII & KC,(m) KC only,(n) KC & VNE,(o) Between KC & VNE,(p) VNE only,(q) VNE & GW Era - Pre 9/11,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",(s) VNE & GW Era - Post 9/11,(t) Between VNE & GW Era,(u) GW Era - Pre 9/11 only,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,(w) GW Era - Post 9/11 only,(x) Post GW Era,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"405,094","319,113","85,982","7,166","23,854","139,552","166,449",55,"6,372",450,344,964,"18,247","4,813","24,120","122,438","9,443","1,879",634,"60,842","60,301","33,768","60,424",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"67,119","53,479","13,640","1,011","5,751","21,873","27,162",3,927,59,25,231,"5,205",462,"4,497","19,639","1,216",270,262,"8,909","8,738","4,667","12,010",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"470,074","360,669","109,405","10,516","27,273","155,573","182,588",71,"9,534",527,455,"1,276","23,267","3,024","34,466","141,275","8,159","1,923",738,"73,592","64,348","35,970","71,450",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"1,596,427","1,288,812","307,615","28,625","88,173","490,999","729,378",515,"26,547","1,164",915,"3,879","74,958","11,137","86,841","444,714","27,866","4,634","1,734","216,380","253,200","149,399","292,544",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,"138,527","112,955","25,572","3,716","8,899","43,246","62,482",35,"3,410",174,132,466,"7,791",802,"10,357","38,165","3,059",745,344,"14,714","19,338","13,056","25,941",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"44,102","31,652","12,451","1,402","3,241","14,725","13,402",10,"1,304",65,33,61,"2,995",149,"3,222","13,704",519,92,229,"9,157","5,256","1,854","5,453",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,"738,635","606,885","131,750","12,126","35,227","204,310","388,820",54,"11,349",519,257,"2,658","29,276","5,174","33,488","171,488","22,677","3,996",719,"95,549","110,139","112,705","138,586",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"569,339","449,743","119,596","14,181","31,850","187,686","236,321",80,"13,474",454,254,"1,551","26,790","4,352","37,900","168,098","11,616","2,764",603,"80,064","76,406","55,794","89,139",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"144,032","110,201","33,831","3,503","9,516","50,910","50,481",18,"3,305",143,56,970,"8,443",874,"12,431","46,899","2,146",656,279,"20,413","21,004","8,835","17,561",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"371,173","273,501","97,672","9,766","30,433","129,590","112,427",41,"8,768",815,182,"1,081","27,777","1,659","36,189","121,873","4,404","1,085",387,"60,362","39,525","16,378","50,647",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"49,323","38,846","10,477","1,256","2,469","18,657","17,986",12,"1,165",51,39,51,"2,049",330,"2,999","17,225",547,265,251,"7,416","5,898","3,817","7,208",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"76,352","60,600","15,753","3,030","11,471","26,783","21,391",7,"2,815",156,59,216,"10,757",500,"7,012","24,923",688,175,439,"8,518","6,347","3,242","10,500",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
